y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
550;WindWorld;665 Bockstigen 5;Offshore I5f 37/40 980301;1575;1309 1305 1415 1415 95 120 56 315;;;;;;;;;;;;;
600;Vestas;146 Bromöllan 1;Brommö D9e 42/40 951019;1100;842 778 903 903 95;1 136 67 5;;;;;;;;;;;;
600;Vestas;159 Hansamöllan;Värpinge C2e 42/41 951205;1150;888 1052 1237 1237 99;8 178 87 0;;;;;;;;;;;;
600;Vestas;180 Vårdkasberget;Härnösand I17g 44/40 960501;1100;1079 993 1372 1372 96;7 180 88 13;;;;;;;;;;;;
600;Vestas;188 Hjärtholmen Görel;Hjärthol B7a 44/40 960502;1450;1292 1536 1753 1753 96;7 180 70 189;;;;;;;;;;;;
600;Vestas;194 Lövstaviken 8;Falkenberg B5c 42/40 960601;1500;1112 1234 1352 1352 85;1 228 86 0;;;;;;;;;;;;
600;Vestas;204 Håberg 1;Flo C8d 44/50 960726;938;853 745 1026 1026 99;7 145 71 4;;;;;;;;;;;;
600;Vestas;210 BEA 8;När J5h 44/50 960917;1300;990 1161 1266 1266 99;1 194 91 0;;;;;;;;;;;;
600;Vestas;211 Burgvind; Rigges1;När J5h 44/50 960920;1300;968 1150 1256 1256 98;8 193 91 0;;;;;;;;;;;
600;Vestas;222 Ryftes Hulda;Havdhem I5i 44/50 961119;1300;1039 1167 1305 1305 97;1 187 81 77;;;;;;;;;;;;
600;Vestas;223 Eksebo Kraft; Gustav;Havd I5i 44/50 961120;1300;978 1085 1242 1242 99;5 186 87 0;;;;;;;;;;;
600;Vestas;224 Kulle 14;Näs I5i 44/50 961119;1300;1008 1156 1358 1358 98;5 208 87 0;;;;;;;;;;;;
600;Vestas;225 Kulle 16;Näs I5i 44/50 961119;1300;913 1173 1371 1371 98;6 211 89 0;;;;;;;;;;;;
600;NEG Micon;227 Tannam;Tanumshede A9f 43/46 961015;1130;768 799 913 913 81;8 131 79 64;;;;;;;;;;;;
600;NEG Micon;228 Duesgård;Tanumshede A9c 43/46 961015;1160;893 945 1156 1156 98;6 175 92 2;;;;;;;;;;;;
600;Vestas;231 Dalom;Hemsö I18a 44/40 961027;1165;870 787 1027 1027 98;6 107 75 10;;;;;;;;;;;;
600;WindWorld;242 Stjernarps gods;Eldsberga C4e 42/42 970301;950;710 693 1077 1077 99;5 175 80 1;;;;;;;;;;;;
600;Vestas;248 Slättäng 1;Slättäng C2i 44/50 970929;1100;792 1182 1328 1328 98;5 166 81 47;;;;;;;;;;;;
600;Vestas;249 Backmöllan;Väggarp C2i 44/50 970924;1150;1009 1112 1145 1145 91;9 161 74 110;;;;;;;;;;;;
600;Vestas;261 Victoria;Hogenäset A8f 44/45 971110;1300;1062 1109 1348 1348 98;8 200 78 5;;;;;;;;;;;;
600;Vestas;265 Rehn Kraft II; Näs;Näs I5f 44/40 971221;1620;1388 1538 1735 1735 98;6 261 89 11;;;;;;;;;;;
600;Vestas;266 Tornsvalan;Slite J7b 44/55 971229;1220;749 841 983 983 98;2 157 87 0;;;;;;;;;;;;
600;Vestas;280 Trärike; Helga;Björkön H17c 44/55 971121;1190;927 863 994 994 95;5 112 78 28;;;;;;;;;;;
600;WindWorld;283 Dömestorp 1;Hasslöv C4b 42/50 980401;930;917 1028 1208 1208 99;5 157 65 2;;;;;;;;;;;;
600;WindWorld;284 Ågård;Genevad C4e 42/50 980403;900;884 1045 1283 1283 99;4 184 77 2;;;;;;;;;;;;
600;WindWorld;285 Ängsholm;Genevad C4e 42/50 980401;950;830 1092 1354 1354 99;5 208 80 2;;;;;;;;;;;;
600;WindWorld;286 Västan Vind;Mellby C4b 42/50 980301;930;860 1027 1290 1290 99;6 195 81 2;;;;;;;;;;;;
600;WindWorld;287 Mälarvind AB 1;Mellby C4b 42/50 980301;930;764 1050 1231 1231 99;5 196 82 2;;;;;;;;;;;;
600;WindWorld;288 Davids Mölla;Glänninge C4b 42/50 980422;990;849 989 1220 1220 99;4 190 83 2;;;;;;;;;;;;
600;Vestas;289 Lagmansberga;Skänninge F8d 44/55 971118;1023;983 853 1052 1052 82;8 187 85 6;;;;;;;;;;;;
600;Vestas;290 Vivian;Visingsö E7g 44/40 971025;1300;1134 897 915 915 87;3;;;;;;;;;;;;
600;WindWorld;293 Björnsgård;Mellby C4b 42/50 980312;1000;831 981 1148 1148 99;5 178 82 2;;;;;;;;;;;;
600;WindWorld;294 Kastlösa Väst V2;Kastlösa G4c 42/40 980201;1280;845 1014 980 980 81;1;;;;;;;;;;;;
600;WindWorld;295 Kastlösa Väst V3;Kastlösa G4c 42/40 980201;1280;1041 1198 1439 1439 88;6 171 69 158;;;;;;;;;;;;
600;WindWorld;296 Fårvind;Kastlösa G4c 42/40 980201;1280;1173 1133 1331 1331 87;5 212 86 23;;;;;;;;;;;;
600;WindWorld;297 Kastlösa Väst V5;Kastlösa G4c 42/40 980201;1300;1263 1278 1249 1249 93;9;;;;;;;;;;;;
600;WindWorld;298 Kastlösa Väst V7;Kastlösa G4c 42/40 980201;1250;890 881 885 885 47;4 94 46 373;;;;;;;;;;;;
600;WindWorld;299 Kastlösa Väst V11;Kastlösa G4c 42/40 980201;1300;1083 985 1368 1368 90;8 158 67 186;;;;;;;;;;;;
600;WindWorld;300 Kastlösa Väst V8;Kastlösa G4c 42/40 980201;1210;809 812 183 183 96;3;;;;;;;;;;;;
